Spread_Diff,ML_Diff,Log_Odds_Diff,Total,ATS Winner
-1.5,-0.26236426446749106,0.05686286189454326,8.0,Home
1.5,-0.07796154146971179,0.04676176590803938,8.5,Away
1.5,0.06755815101129103,-0.05715841383994846,7.5,Away
1.5,0.33213383502261473,-0.10371982620036635,7.0,Away
1.5,0.16055070167272578,0.10371982620036635,7.0,Home
1.5,0.35117202574150225,0.0051948168771039915,7.5,Home
-1.5,-0.015584731016698328,0.0933319397922191,8.0,Away
-1.5,-0.16055070167272578,-0.05715841383994846,7.5,Away
-1.5,-0.17570840090223727,-0.08294908298075077,7.5,Home
1.5,0.3069562050646476,0.07796154146971179,6.5,Home
1.5,0.03636764417087479,0.05715841383994846,7.5,Home
-1.5,-0.44273650290539596,-0.10371982620036635,6.5,Away
-1.5,-0.13491931789937073,-0.06755815101129103,8.0,Home
-1.5,-0.6407791950426294,0.08836915045008997,8.0,Away
-1.5,-0.1397619423751586,-0.04676176590803938,8.5,Home
1.5,0.2519639898497018,-0.05715841383994846,8.0,Home
-1.5,-0.196506191785911,-0.0725706928348353,8.5,Away
-1.5,-0.6583004492297773,0.1091992919649919,7.5,Home
-1.5,-0.38046380590274703,-0.05715841383994846,9.0,Home
1.5,0.38046380590274703,-0.03636764417087479,8.0,Home
1.5,0.04676176590803938,-0.020834086902842053,7.5,Home
-1.5,-0.17095779814363954,-0.05715841383994846,8.5,Away
1.5,0.3762354697932259,0.04676176590803938,9.0,Away
-1.5,-0.12451294787258238,-0.010416760858255714,8.5,Away
-1.5,-0.11411330676742104,-0.015584731016698328,8.5,Away
-1.5,-0.5082248420659333,-0.06755815101129103,8.0,Away
1.5,0.1293791375237554,0.020834086902842053,8.5,Home
-1.5,-0.06755815101129103,0.02597548640326075,9.0,Away
1.5,0.22660575904268054,-0.08836915045008997,8.0,Home
-1.5,-0.10371982620036635,-0.06755815101129103,8.5,Away
-1.5,-0.2474081733138409,0.05715841383994846,8.5,Home
1.5,0.26236426446749106,0.09878154455978383,9.0,Home
-1.5,-0.18610227963386072,0.07796154146971179,9.0,Home
1.5,0.07796154146971179,-0.020834086902842053,8.0,Away
-1.5,-0.49390915009928993,-0.02597548640326075,7.5,Home
1.5,0.015584731016698328,-0.03636764417087479,7.5,Home
1.5,0.15015227386056296,0.05715841383994846,8.5,Home
1.5,-0.0725706928348353,-0.06755815101129103,7.0,Away
1.5,0.10371982620036635,0.0,8.0,Home
-1.5,-0.45314253127966914,0.0051948168771039915,7.5,Away
-1.5,-0.15015227386056296,-0.08836915045008997,9.0,Home
-1.5,-0.16055070167272578,0.05715841383994846,8.0,Home
1.5,0.5082248420659333,-0.03636764417087479,7.5,Home
-1.5,-0.04676176590803938,0.031252543504104446,8.5,Away
-1.5,-0.27727305653704526,-0.02597548640326075,9.5,Home
-1.5,-0.8864377687244738,-0.10371982620036635,8.5,Home
1.5,0.04676176590803938,0.08836915045008997,9.0,Home
1.5,0.5624499891712977,0.02597548640326075,8.5,Away
-1.5,-0.5728610146854434,-0.010416760858255714,8.0,Home
-1.5,-0.409623118256828,-0.06755815101129103,8.0,Home
-1.5,-0.2817473369319664,0.06755815101129103,8.5,Away
-1.5,-0.12451294787258238,0.07796154146971179,8.0,Away
-1.5,-0.17095779814363954,-0.03636764417087479,8.0,Home
-1.5,-0.1091992919649919,0.1091992919649919,7.5,Away
-1.5,-0.6792580683992782,-0.015584731016698328,8.0,Home
1.5,0.2519639898497018,-0.11411330676742104,8.5,Home
1.5,0.3615709145509391,-0.04676176590803938,7.5,Home
1.5,0.0051948168771039915,0.05715841383994846,8.5,Away
-1.5,-0.4241572411203169,0.0933319397922191,9.0,Home
-1.5,-0.3950591869470476,0.020834086902842053,8.5,Home
1.5,0.38046380590274703,0.0933319397922191,7.5,Away
1.5,-0.10371982620036635,-0.015584731016698328,8.5,Home
-1.5,-0.3217342151976964,0.04676176590803938,8.5,Away
-1.5,-0.237000585975636,-0.05715841383994846,7.5,Away
-1.5,-0.2115827289131338,-0.015584731016698328,8.5,Away
1.5,-0.08836915045008997,-0.02597548640326075,7.5,Home
1.5,0.04167269640056803,0.03636764417087479,7.0,Away
-1.5,-0.287682072451781,0.05715841383994846,8.5,Home
1.5,0.5263901403071023,-0.07796154146971179,7.0,Away
1.5,0.04676176590803938,0.05715841383994846,8.5,Home
-1.5,-0.5368011101692514,-0.06755815101129103,7.5,Home
1.5,0.16055070167272578,0.02597548640326075,6.5,Home
-1.5,-0.4200335239364548,0.05715841383994846,7.5,Away
1.5,0.6757554378480761,0.10371982620036635,9.0,Home
1.5,0.10371982620036635,-0.05715841383994846,7.5,Away
-1.5,-1.0459685551826878,-0.02597548640326075,7.0,Home
-1.5,-0.26236426446749106,0.10371982620036635,8.0,Away
-1.5,-0.14533298742461398,0.010416760858255714,9.5,Away
-1.5,-0.6443570163905132,-0.02597548640326075,10.0,Home
-1.5,-0.27277866694920605,-0.10371982620036635,7.0,Away
-1.5,-0.0933319397922191,-0.020834086902842053,10.0,Home
-1.5,-0.10371982620036635,-0.02597548640326075,8.0,Away
-1.5,-0.8441874379728111,-0.10371982620036635,7.0,Home
-1.5,-0.13491931789937073,-0.031252543504104446,9.0,Home
-1.5,-0.4241572411203169,0.010416760858255714,7.0,Home
-1.5,-0.15575452940923284,0.031252543504104446,7.5,Home
1.5,0.434573192266235,-0.05715841383994846,7.5,Away
-1.5,-0.2682639865946793,-0.04167269640056803,7.5,Away
1.5,0.3069562050646476,0.06755815101129103,8.5,Away
1.5,0.2474081733138409,0.0,8.0,Home
-1.5,-0.7379050812014389,-0.02597548640326075,7.5,Home
-1.5,-0.0051948168771039915,0.07796154146971179,8.0,Home
1.5,0.05209511188340177,0.05715841383994846,8.0,Home
-1.5,-0.7479554170549405,0.08836915045008997,7.5,Home
-1.5,-0.13491931789937073,-0.06755815101129103,7.5,Home
-1.5,-0.08836915045008997,0.05715841383994846,7.0,Home
1.5,0.22198681318638613,0.020834086902842053,9.0,Home
1.5,0.05182506786458607,-0.03636764417087479,8.5,Away
1.5,0.35117202574150225,0.04676176590803938,10.0,Away
-1.5,-0.04676176590803938,0.0,8.0,Away
-1.5,-0.4612070911163996,-0.02597548640326075,7.5,Home
-1.5,-0.06755815101129103,-0.05715841383994846,8.0,Away
-1.5,-0.13491931789937073,-0.07796154146971179,7.5,Away
-1.5,-0.8020983643485002,0.02597548640326075,8.5,Away
1.5,0.4755969318822467,-0.07796154146971179,7.5,Home
1.5,0.18610227963386072,0.11962296257839067,7.5,Home
1.5,0.409623118256828,0.05715841383994846,9.0,Home
-1.5,-0.540639886476417,0.07796154146971179,7.5,Away
-1.5,-0.29213642280116126,-0.015584731016698328,7.0,Away
1.5,-0.015584731016698328,0.06755815101129103,8.0,Home
-1.5,-0.29213642280116126,0.03636764417087479,8.5,Home
1.5,-0.06755815101129103,0.010416760858255714,8.5,Away
-1.5,-0.2115827289131338,0.09878154455978383,7.5,Away
1.5,0.03636764417087479,0.05715841383994846,8.0,Home
1.5,-0.08836915045008997,0.08836915045008997,7.5,Home
1.5,0.015584731016698328,-0.07796154146971179,9.0,Home
-1.5,-0.13491931789937073,-0.0051948168771039915,9.0,Home
1.5,0.3950591869470476,0.04676176590803938,8.5,Home
1.5,0.13491931789937073,-0.03636764417087479,8.0,Home
-1.5,-0.20692071580732252,-0.07796154146971179,8.5,Away
1.5,0.6122595214208447,-0.020834086902842053,7.5,Home
-1.5,-0.8742424956306554,-0.10371982620036635,7.0,Home
-1.5,-0.17095779814363954,0.015584731016698328,6.0,Home
1.5,-0.07796154146971179,-0.020834086902842053,8.0,Home
-1.5,-0.1293791375237554,0.06755815101129103,8.5,Away
-1.5,-0.39923455835752814,-0.09878154455978383,7.0,Away
-1.5,-0.33213383502261473,0.10371982620036635,7.0,Away
-1.5,-0.5624499891712977,-0.08836915045008997,7.0,Away
-1.5,-0.8803587226480916,-0.04676176590803938,7.0,Home
-1.5,-0.22198681318638613,-0.04676176590803938,6.5,Away
-1.5,-0.5944756530529156,0.07796154146971179,8.0,Away
1.5,0.5082248420659333,0.03636764417087479,9.0,Home
-1.5,-0.44273650290539596,-0.015584731016698328,8.5,Away
1.5,-0.04676176590803938,0.08294908298075077,7.0,Home
-1.5,-0.36583531333739666,0.0051948168771039915,8.0,Home
1.5,-0.08836915045008997,0.02597548640326075,7.5,Home
1.5,0.3908663086870116,0.02597548640326075,9.5,Away
1.5,0.05209511188340177,0.07796154146971179,8.0,Home
1.5,0.34687094384211153,-0.010416760858255714,7.0,Home
-1.5,-0.6443570163905132,-0.05715841383994846,7.0,Away
-1.5,-0.4241572411203169,-0.010416760858255714,7.5,Away
-1.5,-0.1397619423751586,0.03636764417087479,9.0,Home
-1.5,-0.27727305653704526,-0.0051948168771039915,7.5,Home
1.5,0.5548741953628402,-0.015584731016698328,9.0,Home
1.5,0.2474081733138409,0.05715841383994846,7.5,Home
-1.5,-0.540639886476417,0.10371982620036635,7.5,Away
-1.5,-0.17095779814363954,-0.03636764417087479,8.0,Away
-1.5,-0.2519639898497018,0.010416760858255714,8.0,Away
-1.5,-0.2519639898497018,-0.06755815101129103,8.5,Away
1.5,-0.020834086902842053,-0.04676176590803938,7.5,Away
-1.5,-0.7852053249778927,-0.08294908298075077,7.0,Home
-1.5,-0.07796154146971179,0.05715841383994846,8.5,Away
-1.5,-0.07796154146971179,0.07796154146971179,8.5,Away
1.5,0.16532398042538354,-0.05715841383994846,10.0,Home
-1.5,-0.015584731016698328,0.05715841383994846,9.0,Away
-1.5,-0.13491931789937073,0.09878154455978383,7.5,Home
-1.5,-0.17570840090223727,0.05715841383994846,7.0,Home
-1.5,-0.3615709145509391,-0.06755815101129103,8.0,Home
-1.5,-0.2011900410983375,-0.02597548640326075,9.0,Home
-1.5,-0.17095779814363954,0.03636764417087479,8.0,Away
1.5,0.03636764417087479,-0.05209511188340177,8.0,Away
1.5,0.34687094384211153,0.03636764417087479,8.0,Home
-1.5,-0.6443570163905132,0.12451294787258238,7.5,Home
1.5,0.13491931789937073,-0.0933319397922191,6.5,Home
-1.5,-0.3615709145509391,-0.10371982620036635,8.5,Away
-1.5,-0.540639886476417,0.03636764417087479,8.0,Away
-1.5,-0.2519639898497018,0.07796154146971179,9.0,Away
1.5,0.4200335239364548,0.04676176590803938,8.0,Away
-1.5,-0.22198681318638613,-0.06755815101129103,8.0,Home
-1.5,-0.15015227386056296,-0.05715841383994846,8.0,Away
-1.5,-0.2162231084696361,-0.0725706928348353,8.5,Away
1.5,0.38046380590274703,0.07796154146971179,8.0,Home
-1.5,-0.34687094384211153,-0.04676176590803938,7.5,Away
-1.5,-0.16055070167272578,-0.04167269640056803,7.5,Home
-1.5,-0.15015227386056296,-0.06755815101129103,8.0,Home
-1.5,-0.3069562050646476,0.04676176590803938,9.0,Away
-1.5,-0.2115827289131338,-0.015584731016698328,8.5,Away
1.5,-0.07796154146971179,0.031252543504104446,8.0,Home
1.5,0.34687094384211153,-0.03636764417087479,8.0,Home
-1.5,-0.5624499891712977,0.015584731016698328,7.5,Home
1.5,0.18610227963386072,0.07796154146971179,7.5,Away
1.5,0.26236426446749106,0.02597548640326075,8.0,Home
1.5,0.7616671269967015,0.031252543504104446,7.0,Away
1.5,-0.10371982620036635,-0.03636764417087479,8.5,Home
-1.5,-0.3615709145509391,-0.03636764417087479,8.5,Home
1.5,0.5043109427447969,-0.05715841383994846,8.0,Home
1.5,-0.09878154455978383,-0.05715841383994846,8.0,Home
-1.5,-0.7682678110280534,-0.04676176590803938,7.0,Home
-1.5,-0.13491931789937073,-0.08294908298075077,6.5,Home
-1.5,-0.8347976976229723,0.08294908298075077,9.0,Away
-1.5,-0.6931471805599453,-0.10371982620036635,7.0,Home
-1.5,-0.07796154146971179,0.07796154146971179,9.0,Away
-1.5,-0.16055070167272578,-0.10371982620036635,8.5,Home
-1.5,-0.24157725300304767,0.05715841383994846,9.0,Home
-1.5,0.031252543504104446,0.07796154146971179,9.5,Away
1.5,0.35117202574150225,0.05715841383994846,7.5,Away
-1.5,-0.08294908298075077,0.08836915045008997,8.0,Away
1.5,-0.03636764417087479,-0.10371982620036635,7.0,Home
-1.5,-0.33213383502261473,0.05715841383994846,7.5,Away
-2.5,-1.0164468886246194,0.02597548640326075,8.5,Home
1.5,0.3615709145509391,0.08294908298075077,9.0,Away
1.5,-0.0051948168771039915,-0.11411330676742104,8.5,Home
-1.5,-0.2115827289131338,0.031252543504104446,8.5,Away
-1.5,-0.39923455835752814,-0.05715841383994846,8.0,Home
-1.5,-0.3069562050646476,0.06755815101129103,9.0,Away
-1.5,-0.2011900410983375,0.05715841383994846,9.0,Away
-1.5,-0.6511829814609131,-0.08836915045008997,8.5,Home
1.5,0.02597548640326075,0.03636764417087479,7.5,Home
1.5,0.05715841383994846,-0.04676176590803938,7.5,Home
1.5,0.04676176590803938,-0.05715841383994846,8.0,Home
1.5,0.15015227386056296,0.0,7.5,Away
-1.5,-0.12451294787258238,-0.06755815101129103,8.5,Home
-2.5,-0.9864949905474035,0.06755815101129103,8.5,Away
1.5,0.2115827289131338,-0.11531084651099432,7.0,Home
-1.5,-0.3217342151976964,-0.03674954220874138,8.0,Home
1.5,-0.08836915045008997,0.03674954220874138,8.5,Home
1.5,-0.0051948168771039915,0.057758834152192295,8.5,Home
-1.5,-0.1397619423751586,-0.015748356968139143,7.5,Home
-1.5,-0.13491931789937073,-0.03674954220874138,8.0,Home
1.5,0.29213642280116126,-0.026248226074936376,8.5,Away
1.5,0.12451294787258238,0.10480787679324988,9.0,Away
1.5,0.03636764417087479,-0.06284790365966364,8.0,Home
-1.5,-0.27727305653704526,-0.015748356968139143,7.5,Away
-1.5,-0.237000585975636,-0.07878087785311427,9.0,Away
-1.5,-0.3615709145509391,-0.04725288485054546,8.0,Away
1.5,0.18610227963386072,0.015748356968139143,9.5,Home
1.5,0.2668789448220178,0.005249355886143725,8.5,Away
-1.5,-0.287682072451781,0.03674954220874138,8.0,Away
-1.5,-0.16055070167272578,0.057758834152192295,9.0,Away
-1.5,-0.48996437180827346,0.026248226074936376,8.0,Home
1.5,-0.015584731016698328,-0.005249355886143725,8.5,Home
-1.5,-0.29213642280116126,0.03674954220874138,8.0,Home
1.5,0.0051948168771039915,0.08381867188307146,9.0,Away
-1.5,-0.2115827289131338,0.07333127308554954,8.0,Home
-2.5,-1.6784307839210517,0.054067221270275634,7.0,Away
