Game Date,Away Team,Home Team,Away_YRFI_Rate,Away_Avg_1st,Home_YRFI_Rate,Home_Avg_1st,YRFI
2025-04-12,Washington Nationals,Miami Marlins,0.2,0.0,0.4444444444444444,0.3333333333333333,0
2025-04-12,Detroit Tigers,Minnesota Twins,0.5,1.375,0.8,1.0,1
2025-04-12,San Francisco Giants,New York Yankees,0.5,0.875,0.875,1.625,1
2025-04-12,Colorado Rockies,San Diego Padres,0.25,0.0,0.5555555555555556,0.5555555555555556,1
2025-04-12,Texas Rangers,Seattle Mariners,0.625,0.375,0.4,0.1,1
2025-04-12,Philadelphia Phillies,St. Louis Cardinals,0.375,0.375,0.75,0.375,1
2025-04-12,Atlanta Braves,Tampa Bay Rays,0.7777777777777778,0.4444444444444444,0.6,1.0,1
2025-04-13,Milwaukee Brewers,Arizona Diamondbacks,0.5555555555555556,0.3333333333333333,0.5,0.3,1
2025-04-13,New York Mets,Athletics,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.8888888888888888,0
2025-04-13,Toronto Blue Jays,Baltimore Orioles,0.4,0.2,0.6666666666666666,1.0,1
2025-04-13,Boston Red Sox,Chicago White Sox,0.3,0.2,0.3333333333333333,0.5555555555555556,0
2025-04-13,Pittsburgh Pirates,Cincinnati Reds,0.3,0.1,0.4444444444444444,0.7777777777777778,0
2025-04-13,Kansas City Royals,Cleveland Guardians,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0
2025-04-13,Los Angeles Angels,Houston Astros,0.7,0.7,0.3333333333333333,0.0,1
2025-04-13,Chicago Cubs,Los Angeles Dodgers,0.3,0.7,0.3333333333333333,0.3333333333333333,0
2025-04-13,Washington Nationals,Miami Marlins,0.16666666666666666,0.0,0.4,0.3,0
2025-04-13,Detroit Tigers,Minnesota Twins,0.5555555555555556,1.2222222222222223,0.8333333333333334,1.0,1
2025-04-13,San Francisco Giants,New York Yankees,0.5555555555555556,0.7777777777777778,0.8888888888888888,1.5555555555555556,1
2025-04-13,Colorado Rockies,San Diego Padres,0.3333333333333333,0.0,0.6,0.9,1
2025-04-13,Texas Rangers,Seattle Mariners,0.6666666666666666,0.3333333333333333,0.5,0.3,1
2025-04-13,Philadelphia Phillies,St. Louis Cardinals,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0
2025-04-13,Atlanta Braves,Tampa Bay Rays,0.8,0.4,0.7,1.2,1
2025-04-14,Colorado Rockies,Los Angeles Dodgers,0.4,0.0,0.4,0.5,1
2025-04-14,Detroit Tigers,Milwaukee Brewers,0.6,1.3,0.5,0.125,1
2025-04-14,New York Mets,Minnesota Twins,0.3,0.1,0.7142857142857143,0.8571428571428571,0
2025-04-14,Kansas City Royals,New York Yankees,0.2857142857142857,0.42857142857142855,0.8,1.4,0
2025-04-14,San Francisco Giants,Philadelphia Phillies,0.6,0.7,0.5714285714285714,0.7142857142857143,1
2025-04-14,Washington Nationals,Pittsburgh Pirates,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,1
2025-04-14,Chicago Cubs,San Diego Padres,0.2,0.7,0.5,0.7,0
2025-04-14,Houston Astros,St. Louis Cardinals,0.42857142857142855,0.2857142857142857,0.6,0.3,0
2025-04-14,Boston Red Sox,Tampa Bay Rays,0.4,0.2,0.7,1.1,1
2025-04-14,Atlanta Braves,Toronto Blue Jays,0.8,0.5,0.625,0.625,1
2025-04-15,Cleveland Guardians,Baltimore Orioles,0.4,0.4,0.5714285714285714,0.8571428571428571,0
2025-04-15,Athletics,Chicago White Sox,0.375,0.75,0.4,0.8,1
2025-04-15,Seattle Mariners,Cincinnati Reds,0.75,0.75,0.5,0.7,1
2025-04-15,Colorado Rockies,Los Angeles Dodgers,0.4,0.0,0.4,0.5,0
2025-04-15,Arizona Diamondbacks,Miami Marlins,0.7142857142857143,0.5714285714285714,0.4,0.3,0
2025-04-15,Detroit Tigers,Milwaukee Brewers,0.6,1.3,0.4444444444444444,0.1111111111111111,0
2025-04-15,New York Mets,Minnesota Twins,0.4,0.2,0.75,0.75,1
2025-04-15,Kansas City Royals,New York Yankees,0.25,0.375,0.7,1.3,0
2025-04-15,San Francisco Giants,Philadelphia Phillies,0.5,0.7,0.5,0.625,0
2025-04-15,Washington Nationals,Pittsburgh Pirates,0.375,0.125,0.5,0.25,1
2025-04-15,Chicago Cubs,San Diego Padres,0.2,0.7,0.4,0.6,0
2025-04-15,Houston Astros,St. Louis Cardinals,0.375,0.25,0.5,0.2,0
2025-04-15,Boston Red Sox,Tampa Bay Rays,0.5,0.3,0.8,1.1,1
2025-04-15,Los Angeles Angels,Texas Rangers,0.6,0.5,0.25,0.75,0
2025-04-15,Atlanta Braves,Toronto Blue Jays,0.8,0.6,0.6666666666666666,0.5555555555555556,1
2025-04-16,Cleveland Guardians,Baltimore Orioles,0.4,0.4,0.5,0.75,0
2025-04-16,Athletics,Chicago White Sox,0.3333333333333333,0.6666666666666666,0.4,0.8,0
2025-04-16,Seattle Mariners,Cincinnati Reds,0.8,0.8,0.5,0.6,1
2025-04-16,Colorado Rockies,Los Angeles Dodgers,0.5,0.1,0.5,1.2,1
2025-04-16,Arizona Diamondbacks,Miami Marlins,0.625,0.5,0.4,0.3,0
2025-04-16,Detroit Tigers,Milwaukee Brewers,0.6,1.3,0.4,0.1,0
2025-04-16,New York Mets,Minnesota Twins,0.4,0.2,0.6666666666666666,0.6666666666666666,0
2025-04-16,Kansas City Royals,New York Yankees,0.3333333333333333,0.4444444444444444,0.7,0.9,1
2025-04-16,San Francisco Giants,Philadelphia Phillies,0.6,1.1,0.5555555555555556,0.7777777777777778,1
2025-04-16,Washington Nationals,Pittsburgh Pirates,0.3333333333333333,0.1111111111111111,0.4444444444444444,0.2222222222222222,0
2025-04-16,Chicago Cubs,San Diego Padres,0.2,0.7,0.4,0.6,0
2025-04-16,Houston Astros,St. Louis Cardinals,0.4444444444444444,0.3333333333333333,0.5,0.1,1
2025-04-16,Boston Red Sox,Tampa Bay Rays,0.4,0.3,0.7,0.8,0
2025-04-16,Los Angeles Angels,Texas Rangers,0.5,0.5,0.2222222222222222,0.6666666666666666,0
2025-04-16,Atlanta Braves,Toronto Blue Jays,0.8,0.6,0.6,0.5,0
2025-04-17,Cleveland Guardians,Baltimore Orioles,0.5,0.4,0.5555555555555556,0.7777777777777778,1
2025-04-17,Athletics,Chicago White Sox,0.4,0.7,0.5,0.8,1
2025-04-17,Seattle Mariners,Cincinnati Reds,0.8333333333333334,0.6666666666666666,0.6,0.8,1
2025-04-17,Kansas City Royals,Detroit Tigers,0.3,0.4,0.42857142857142855,0.42857142857142855,0
2025-04-17,Arizona Diamondbacks,Miami Marlins,0.6666666666666666,0.6666666666666666,0.4,0.4,1
2025-04-17,St. Louis Cardinals,New York Mets,0.375,0.125,0.2857142857142857,0.42857142857142855,0
2025-04-17,San Francisco Giants,Philadelphia Phillies,0.7,1.2,0.6,1.2,1
2025-04-17,Washington Nationals,Pittsburgh Pirates,0.4,0.1,0.5,0.3,1
2025-04-17,New York Yankees,Tampa Bay Rays,0.2857142857142857,0.2857142857142857,0.8,0.8,1
2025-04-17,Los Angeles Angels,Texas Rangers,0.6,0.6,0.3,0.7,1
2025-04-18,Minnesota Twins,Atlanta Braves,0.6,0.2,0.42857142857142855,0.14285714285714285,0
2025-04-18,Cincinnati Reds,Baltimore Orioles,0.125,0.125,0.5,0.7,0
2025-04-18,Chicago White Sox,Boston Red Sox,0.8571428571428571,0.7142857142857143,0.4444444444444444,1.1111111111111112,1
2025-04-18,Arizona Diamondbacks,Chicago Cubs,0.6,0.6,0.42857142857142855,0.8571428571428571,0
2025-04-18,Washington Nationals,Colorado Rockies,0.4,0.1,0.42857142857142855,0.5714285714285714,0
2025-04-18,Kansas City Royals,Detroit Tigers,0.3,0.2,0.5,0.375,1
2025-04-18,San Diego Padres,Houston Astros,0.5714285714285714,1.2857142857142858,0.3,0.0,0
2025-04-18,San Francisco Giants,Los Angeles Angels,0.7,1.2,0.75,1.0,0
2025-04-18,Athletics,Milwaukee Brewers,0.4,0.7,0.3,0.1,0
2025-04-18,St. Louis Cardinals,New York Mets,0.3333333333333333,0.1111111111111111,0.25,0.375,0
2025-04-18,Miami Marlins,Philadelphia Phillies,0.42857142857142855,0.5714285714285714,0.7,1.4,1
2025-04-18,Cleveland Guardians,Pittsburgh Pirates,0.6,0.4,0.6,0.4,1
2025-04-18,New York Yankees,Tampa Bay Rays,0.25,0.25,0.8,0.8,0
2025-04-18,Los Angeles Dodgers,Texas Rangers,0.8571428571428571,1.0,0.4,0.7,1
2025-04-18,Seattle Mariners,Toronto Blue Jays,0.8571428571428571,0.5714285714285714,0.6,0.6,1
2025-04-19,Minnesota Twins,Atlanta Braves,0.6,0.3,0.5,0.25,1
2025-04-19,Cincinnati Reds,Baltimore Orioles,0.2222222222222222,0.2222222222222222,0.5,0.5,1
2025-04-19,Chicago White Sox,Boston Red Sox,0.75,0.625,0.4,1.0,0
2025-04-19,Arizona Diamondbacks,Chicago Cubs,0.7,0.7,0.5,1.0,1
2025-04-19,Washington Nationals,Colorado Rockies,0.4,0.1,0.375,0.5,0
2025-04-19,Kansas City Royals,Detroit Tigers,0.3,0.2,0.4444444444444444,0.3333333333333333,0
2025-04-19,San Diego Padres,Houston Astros,0.5,1.125,0.3,0.0,0
2025-04-19,San Francisco Giants,Los Angeles Angels,0.8,1.4,0.8,0.8,1
2025-04-19,Athletics,Milwaukee Brewers,0.4,0.7,0.3,0.1,0
2025-04-19,St. Louis Cardinals,New York Mets,0.3,0.1,0.2222222222222222,0.3333333333333333,0
2025-04-19,Miami Marlins,Philadelphia Phillies,0.375,0.5,0.7,1.4,0
2025-04-19,Cleveland Guardians,Pittsburgh Pirates,0.5,0.3,0.6,0.4,0
2025-04-19,New York Yankees,Tampa Bay Rays,0.3333333333333333,0.4444444444444444,0.8,0.4,1
2025-04-19,Los Angeles Dodgers,Texas Rangers,0.75,0.875,0.4,0.7,0
2025-04-19,Seattle Mariners,Toronto Blue Jays,0.875,0.5,0.7,0.7,1
2025-04-20,Minnesota Twins,Atlanta Braves,0.6,0.2,0.5555555555555556,0.4444444444444444,1
2025-04-20,Cincinnati Reds,Baltimore Orioles,0.2,0.2,0.5,0.5,0
2025-04-20,Chicago White Sox,Boston Red Sox,0.7777777777777778,0.7777777777777778,0.4,0.8,1
2025-04-20,Arizona Diamondbacks,Chicago Cubs,0.7,0.5,0.5555555555555556,1.0,1
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4444444444444444,0.4444444444444444,0
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4,0.4,0
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4444444444444444,0.4444444444444444,0
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4,0.4,0
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4444444444444444,0.4444444444444444,1
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4,0.4,1
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4444444444444444,0.4444444444444444,1
2025-04-20,Washington Nationals,Colorado Rockies,0.4,0.2,0.4,0.4,1
2025-04-20,Kansas City Royals,Detroit Tigers,0.2,0.2,0.4,0.3,0
2025-04-20,San Diego Padres,Houston Astros,0.5555555555555556,1.1111111111111112,0.4,0.0,1
2025-04-20,San Francisco Giants,Los Angeles Angels,0.7,1.2,0.6666666666666666,0.6666666666666666,0
2025-04-20,Athletics,Milwaukee Brewers,0.5,0.7,0.3,0.4,1
2025-04-20,St. Louis Cardinals,New York Mets,0.3,0.1,0.3,0.4,1
2025-04-20,Miami Marlins,Philadelphia Phillies,0.4444444444444444,0.4444444444444444,0.8,1.7,1
2025-04-20,Cleveland Guardians,Pittsburgh Pirates,0.5,0.3,0.5,0.4,0
2025-04-20,New York Yankees,Tampa Bay Rays,0.4,0.5,0.8,0.4,1
2025-04-20,Los Angeles Dodgers,Texas Rangers,0.6666666666666666,0.7777777777777778,0.3,0.5,0
2025-04-20,Seattle Mariners,Toronto Blue Jays,0.8888888888888888,0.7777777777777778,0.7,0.5,1
2025-04-21,St. Louis Cardinals,Atlanta Braves,0.3,0.1,0.5,0.4,0
2025-04-21,Chicago White Sox,Boston Red Sox,0.8,0.8,0.5,0.8,1
2025-04-21,New York Yankees,Cleveland Guardians,0.4,0.5,0.2857142857142857,0.5714285714285714,0
2025-04-21,San Diego Padres,Detroit Tigers,0.6,1.1,0.4,0.4,1
2025-04-21,Toronto Blue Jays,Houston Astros,0.3,0.2,0.4,0.0,0
2025-04-21,Cincinnati Reds,Miami Marlins,0.2,0.2,0.4,0.4,0
2025-04-21,Philadelphia Phillies,New York Mets,0.4,0.3,0.3,0.3,1
2025-04-21,Milwaukee Brewers,San Francisco Giants,0.5,0.3,0.2857142857142857,0.14285714285714285,0
2025-04-22,Tampa Bay Rays,Arizona Diamondbacks,0.25,0.0,0.4,0.2,0
2025-04-22,Texas Rangers,Athletics,0.7,0.5,0.5,0.8,1
2025-04-22,St. Louis Cardinals,Atlanta Braves,0.3,0.1,0.5,0.4,0
2025-04-22,Seattle Mariners,Boston Red Sox,0.9,0.8,0.6,0.9,1
2025-04-22,Los Angeles Dodgers,Chicago Cubs,0.7,1.0,0.6,1.4,1
2025-04-22,New York Yankees,Cleveland Guardians,0.5,0.6,0.375,0.5,1
2025-04-22,San Diego Padres,Detroit Tigers,0.5,1.1,0.3,0.2,0
2025-04-22,Toronto Blue Jays,Houston Astros,0.4,0.2,0.5,0.3,1
2025-04-22,Colorado Rockies,Kansas City Royals,0.4,0.1,0.4,0.6,0
2025-04-22,Pittsburgh Pirates,Los Angeles Angels,0.3,0.1,0.5714285714285714,0.5714285714285714,0
2025-04-22,Cincinnati Reds,Miami Marlins,0.3,0.2,0.4,0.4,1
2025-04-22,Chicago White Sox,Minnesota Twins,0.7,0.8,0.6,0.6,0
2025-04-22,Philadelphia Phillies,New York Mets,0.5,0.3,0.4,0.4,1
2025-04-22,Milwaukee Brewers,San Francisco Giants,0.4,0.3,0.25,0.125,0
2025-04-22,Baltimore Orioles,Washington Nationals,0.8,0.6,0.6,1.5,1
2025-04-23,Tampa Bay Rays,Arizona Diamondbacks,0.2,0.0,0.4,0.2,0
2025-04-23,Texas Rangers,Athletics,0.6,0.5,0.4,0.8,0
2025-04-23,St. Louis Cardinals,Atlanta Braves,0.3,0.1,0.5,0.4,1
2025-04-23,Seattle Mariners,Boston Red Sox,0.8,0.7,0.5,0.8,0
2025-04-23,Los Angeles Dodgers,Chicago Cubs,0.6,1.0,0.5,1.3,0
2025-04-23,New York Yankees,Cleveland Guardians,0.5,0.7,0.4444444444444444,0.5555555555555556,1
2025-04-23,San Diego Padres,Detroit Tigers,0.6,1.1,0.3,0.3,1
2025-04-23,Toronto Blue Jays,Houston Astros,0.4,0.2,0.5,0.3,0
2025-04-23,Colorado Rockies,Kansas City Royals,0.4,0.1,0.4,0.6,0
2025-04-23,Pittsburgh Pirates,Los Angeles Angels,0.3,0.1,0.5,0.5,0
2025-04-23,Cincinnati Reds,Miami Marlins,0.3,0.2,0.4,0.4,1
2025-04-23,Chicago White Sox,Minnesota Twins,0.6,0.7,0.5,0.4,0
2025-04-23,Philadelphia Phillies,New York Mets,0.5,0.3,0.4,0.4,0
2025-04-23,Milwaukee Brewers,San Francisco Giants,0.3,0.3,0.2222222222222222,0.1111111111111111,0
2025-04-23,Baltimore Orioles,Washington Nationals,0.8,0.6,0.6,1.5,0
2025-04-24,Tampa Bay Rays,Arizona Diamondbacks,0.16666666666666666,0.0,0.4,0.2,0
2025-04-24,Texas Rangers,Athletics,0.5,0.4,0.3,0.6,0
2025-04-24,Seattle Mariners,Boston Red Sox,0.8,0.7,0.5,0.8,0
2025-04-24,Colorado Rockies,Kansas City Royals,0.4,0.1,0.4,0.6,0
2025-04-24,Pittsburgh Pirates,Los Angeles Angels,0.2,0.0,0.4444444444444444,0.4444444444444444,0
2025-04-24,Chicago White Sox,Minnesota Twins,0.5,0.5,0.4,0.4,0
2025-04-24,Milwaukee Brewers,San Francisco Giants,0.2,0.2,0.2,0.1,0
2025-04-24,Baltimore Orioles,Washington Nationals,0.7,0.4,0.6,1.5,0
